player,turn,p1_draws,p2_draws,hand,stop_prob,draw_prob,visits,forced
1,0,0,0,1-2-4-6,0.9962121212121212,0.003787878787878788,924,
1,0,0,0,1-2-4-7,0.4525781231858199,0.54742187681418,866,
1,0,0,0,1-2-4-8,0.5036655376821025,0.4963344623178974,912,
1,0,0,0,1-2-4-9,0.035331905781584565,0.9646680942184154,934,
1,0,0,0,1-2-5-10,0.0025020938565425517,0.9974979061434575,3734,
1,0,0,0,1-2-5-5,0.8988969393280065,0.10110306067199339,314,
1,0,0,0,1-2-5-6,0.9984375,0.0015625,960,
1,0,0,0,1-2-5-7,0.9952127659574468,0.0047872340425531915,940,
1,0,0,0,1-2-5-8,0.7047147525035478,0.2952852474964522,1000,
1,0,0,0,1-2-5-9,0.09935011301210037,0.9006498869878997,918,
1,0,0,0,1-2-6-10,0.00040496760259179265,0.9995950323974082,3704,
1,0,0,0,1-2-6-6,0.9519319963342615,0.04806800366573852,308,
1,0,0,0,1-2-6-7,0.7663143950293803,0.2336856049706198,1014,
1,0,0,0,1-2-6-8,0.0005330490405117271,0.9994669509594882,938,
1,0,0,0,1-2-6-9,0.14703891100991104,0.8529610889900889,984,
1,0,0,0,1-2-7-10,0.00012879958784131891,0.9998712004121587,3882,
1,0,0,0,1-2-7-7,0.47649492139706406,0.5235050786029359,356,
1,0,0,0,1-2-7-8,0.033871504997420046,0.96612849500258,940,
1,0,0,0,1-2-7-9,0.0005330490405117271,0.9994669509594882,938,
1,0,0,0,1-2-8-10,0.00013638843426077467,0.9998636115657392,3666,
1,0,0,0,1-2-8-8,0.044600075215731394,0.9553999247842685,358,
1,0,0,0,1-2-8-9,0.0026595744680851063,0.9973404255319149,940,
1,0,0,0,1-2-9-10,0.0025764556935307273,0.9974235443064693,3860,
1,0,0,0,1-2-9-9,0.006443298969072165,0.9935567010309279,388,
1,0,0,0,1-3-10-10,7.14694110920526e-05,0.999928530588908,6996,
1,0,0,0,1-3-3-10,0.0003419972640218878,0.9996580027359782,1462,
1,0,0,0,1-3-3-3,0.5,0.5,58,
1,0,0,0,1-3-3-4,0.45694742146392764,0.5430525785360723,348,
1,0,0,0,1-3-3-5,0.9193037974683544,0.08069620253164557,316,
1,0,0,0,1-3-3-6,0.7590610395416886,0.2409389604583114,390,
1,0,0,0,1-3-3-7,0.444566209038987,0.555433790961013,332,
1,0,0,0,1-3-3-8,0.9692038643692104,0.030796135630789735,352,
1,0,0,0,1-3-3-9,0.05816831683168317,0.9418316831683168,404,
1,0,0,0,1-3-4-10,0.000390015600624025,0.999609984399376,3846,
1,0,0,0,1-3-4-4,0.735207100591716,0.26479289940828404,338,
1,0,0,0,1-3-4-5,0.6630228912859288,0.3369771087140712,944,
1,0,0,0,1-3-4-6,0.9808488612836439,0.019151138716356108,966,
1,0,0,0,1-3-4-7,0.9436267781441232,0.05637322185587681,938,
1,0,0,0,1-3-4-8,0.09906333065097998,0.90093666934902,958,
1,0,0,0,1-3-4-9,0.0028473804100227792,0.9971526195899773,878,
1,0,0,0,1-3-5-10,0.00013248542660307367,0.999867514573397,3774,
1,0,0,0,1-3-5-5,0.6769180362186246,0.3230819637813754,332,
1,0,0,0,1-3-5-6,0.9784793814432989,0.02152061855670103,970,
1,0,0,0,1-3-5-7,0.8128314804249843,0.18716851957501565,932,
1,0,0,0,1-3-5-8,0.9239710174632784,0.07602898253672166,1010,
1,0,0,0,1-3-5-9,0.6882567202593961,0.31174327974060384,876,
1,0,0,0,1-3-6-10,0.0019300051466803908,0.9980699948533196,3886,
1,0,0,0,1-3-6-6,0.9909326424870466,0.009067357512953367,386,
1,0,0,0,1-3-6-7,0.7084267986070237,0.2915732013929763,944,
1,0,0,0,1-3-6-8,0.16278043008244442,0.8372195699175556,922,
1,0,0,0,1-3-6-9,0.05964381916403642,0.9403561808359636,1016,
1,0,0,0,1-3-7-10,0.00013469827586206896,0.9998653017241379,3712,
1,0,0,0,1-3-7-7,0.6170904998002124,0.3829095001997876,360,
1,0,0,0,1-3-7-8,0.008762886597938144,0.9912371134020619,970,
1,0,0,0,1-3-7-9,0.03779611155114409,0.962203888448856,960,
1,0,0,0,1-3-8-10,0.00013054830287206266,0.9998694516971279,3830,
1,0,0,0,1-3-8-8,0.05394135022315637,0.9460586497768436,314,
1,0,0,0,1-3-8-9,0.004415011037527594,0.9955849889624724,906,
1,0,0,0,1-3-9-10,0.00013653741125068268,0.9998634625887494,3662,
1,0,0,0,1-3-9-9,0.0015317105481039905,0.998468289451896,366,
1,0,0,0,1-4-10-10,0.0018268817296287492,0.9981731182703713,7102,
1,0,0,0,1-4-4-10,0.007305194805194799,0.9926948051948052,1496,
1,0,0,0,1-4-4-4,0.9910714285714286,0.008928571428571428,56,
1,0,0,0,1-4-4-5,0.9954819277108434,0.004518072289156626,332,
1,0,0,0,1-4-4-6,0.9910714285714286,0.008928571428571428,392,
1,0,0,0,1-4-4-7,0.9959893048128342,0.004010695187165776,374,
1,0,0,0,1-4-4-8,0.3280746283290258,0.6719253716709742,344,
1,0,0,0,1-4-4-9,0.419651860744174,0.5803481392558258,304,
1,0,0,0,1-4-5-10,0.0038204614650537844,0.9961795385349462,3744,
1,0,0,0,1-4-5-5,0.8951149425287356,0.10488505747126436,348,
1,0,0,0,1-4-5-6,0.9427700589428137,0.05722994105718634,956,
1,0,0,0,1-4-5-7,0.9507734638924449,0.049226536107555154,972,
1,0,0,0,1-4-5-8,0.9936172349072742,0.006382765092725823,976,
1,0,0,0,1-4-5-9,0.3528479341478539,0.6471520658521461,904,
1,0,0,0,1-4-6-10,0.0009704084665942224,0.9990295915334058,3652,
1,0,0,0,1-4-6-6,0.9986263736263736,0.0013736263736263737,364,
1,0,0,0,1-4-6-7,0.7975309124067983,0.2024690875932017,974,
1,0,0,0,1-4-6-8,0.9105223379573562,0.08947766204264385,964,
1,0,0,0,1-4-6-9,0.10551011790900905,0.894489882090991,948,
1,0,0,0,1-4-7-10,0.00013054830287206266,0.9998694516971279,3830,
1,0,0,0,1-4-7-7,0.5075981854793654,0.4924018145206346,370,
1,0,0,0,1-4-7-8,0.025026572799809615,0.9749734272001903,892,
1,0,0,0,1-4-7-9,0.042302547228308215,0.9576974527716918,956,
1,0,0,0,1-4-8-10,0.00013241525423728814,0.9998675847457628,3776,
1,0,0,0,1-4-8-8,0.001282051282051282,0.9987179487179487,390,
1,0,0,0,1-4-8-9,0.047337959717525066,0.9526620402824749,1010,
1,0,0,0,1-4-9-10,0.01561664482948803,0.984383355170512,3728,
1,0,0,0,1-4-9-9,0.004120879120879121,0.9958791208791209,364,
1,0,0,0,1-5-10-10,0.0,1.0,7012,DRAW
1,0,0,0,1-5-5-10,0.049117242695714596,0.9508827573042854,1434,
1,0,0,0,1-5-5-5,0.7265625,0.2734375,64,
1,0,0,0,1-5-5-6,0.9844913656329086,0.015508634367091304,390,
1,0,0,0,1-5-5-7,0.5553018235510537,0.4446981764489462,382,
1,0,0,0,1-5-5-8,0.624701550509544,0.3752984494904561,344,
1,0,0,0,1-5-5-9,0.0014970059880239522,0.9985029940119761,334,
1,0,0,0,1-5-6-10,0.00012939958592132506,0.9998706004140787,3864,
1,0,0,0,1-5-6-6,0.9184546751631885,0.0815453248368115,394,
1,0,0,0,1-5-6-7,0.811760585566101,0.18823941443389894,948,
1,0,0,0,1-5-6-8,0.9874649583386018,0.012535041661398216,922,
1,0,0,0,1-5-6-9,0.42388487411900083,0.5761151258809992,932,
1,0,0,0,1-5-7-10,0.0023408239700374533,0.9976591760299626,3738,
1,0,0,0,1-5-7-7,0.6113600391728271,0.38863996082717284,336,
1,0,0,0,1-5-7-8,0.06796924283377347,0.9320307571662265,852,
1,0,0,0,1-5-7-9,0.07700722821521575,0.9229927717847843,918,
1,0,0,0,1-5-8-10,0.0019197008732131044,0.9980802991267869,3814,
1,0,0,0,1-5-8-8,0.3846289605539721,0.6153710394460279,358,
1,0,0,0,1-5-8-9,0.002860411899313501,0.9971395881006865,874,
1,0,0,0,1-5-9-10,0.00013966480446927373,0.9998603351955307,3580,
1,0,0,0,1-5-9-9,0.004310344827586207,0.9956896551724138,348,
1,0,0,0,1-6-10-10,0.0,1.0,7300,DRAW
1,0,0,0,1-6-6-10,0.023040190090643998,0.976959809909356,1444,
1,0,0,0,1-6-6-6,0.3299288330821975,0.6700711669178026,56,
1,0,0,0,1-6-6-7,0.9245265428844612,0.07547345711553871,370,
1,0,0,0,1-6-6-8,0.001445086705202312,0.9985549132947977,346,
1,0,0,0,1-6-6-9,0.041866023018185115,0.9581339769818148,328,
1,0,0,0,1-6-7-10,0.00785300269324786,0.992146997306752,3702,
1,0,0,0,1-6-7-7,0.9159868641983812,0.08401313580161893,384,
1,0,0,0,1-6-7-8,0.0025201612903225806,0.9974798387096774,992,
1,0,0,0,1-6-7-9,0.018029291342591493,0.9819707086574085,918,
1,0,0,0,1-6-8-10,0.0017241379310344823,0.9982758620689656,3934,
1,0,0,0,1-6-8-8,0.22331097573302025,0.7766890242669797,354,
1,0,0,0,1-6-8-9,0.005957053838659254,0.9940429461613407,916,
1,0,0,0,1-6-9-10,0.0,1.0,3734,DRAW
1,0,0,0,1-6-9-9,0.001366120218579235,0.9986338797814208,366,
1,0,0,0,1-7-10-10,0.0,1.0,7218,DRAW
1,0,0,0,1-7-7-10,0.0010623229461756375,0.9989376770538244,1412,
1,0,0,0,1-7-7-7,0.2907927715234499,0.7092072284765502,70,
1,0,0,0,1-7-7-8,0.09305561948145717,0.9069443805185429,374,
1,0,0,0,1-7-7-9,0.007682557171655131,0.9923174428283449,354,
1,0,0,0,1-7-8-10,0.0,1.0,3664,DRAW
1,0,0,0,1-7-8-8,0.0014970059880239522,0.9985029940119761,334,
1,0,0,0,1-7-8-9,0.0036610878661087866,0.9963389121338913,956,
1,0,0,0,1-7-9-10,0.0,1.0,3624,DRAW
1,0,0,0,1-7-9-9,0.0,1.0,402,DRAW
1,0,0,0,1-8-10-10,0.0,1.0,7144,DRAW
1,0,0,0,1-8-8-10,0.0,1.0,1520,DRAW
1,0,0,0,1-8-8-8,0.5084675870114062,0.49153241298859385,60,
1,0,0,0,1-8-8-9,0.0,1.0,408,DRAW
1,0,0,0,1-8-9-10,0.0,1.0,3932,DRAW
1,0,0,0,1-8-9-9,0.0,1.0,304,DRAW
1,0,0,0,1-9-10-10,0.0,1.0,7180,DRAW
1,0,0,0,1-9-9-10,0.0,1.0,1392,DRAW
1,0,0,0,1-9-9-9,0.0,1.0,40,DRAW
1,0,0,0,10-10-10-10,0.0,1.0,6750,DRAW
1,0,0,0,2-10-10-10,0.0,1.0,8332,DRAW
1,0,0,0,2-2-10-10,0.00019069412662090009,0.9998093058733791,2622,
1,0,0,0,2-2-2-10,0.23279901047757318,0.7672009895224269,274,
1,0,0,0,2-2-2-2,0.5,0.5,2,
1,0,0,0,2-2-2-3,0.5,0.5,52,
1,0,0,0,2-2-2-4,0.5,0.5,60,
1,0,0,0,2-2-2-5,0.5462962962962963,0.4537037037037037,54,
1,0,0,0,2-2-2-6,0.8583333333333333,0.14166666666666666,60,
1,0,0,0,2-2-2-7,0.7433673469387755,0.2566326530612245,70,
1,0,0,0,2-2-2-8,0.5,0.5,44,
1,0,0,0,2-2-2-9,0.35,0.65,70,
1,0,0,0,2-2-3-10,0.0033136966126656848,0.9966863033873343,1358,
1,0,0,0,2-2-3-3,0.4551282051282051,0.5448717948717948,156,
1,0,0,0,2-2-3-4,0.9960732984293194,0.003926701570680628,382,
1,0,0,0,2-2-3-5,0.9663978494623656,0.033602150537634407,372,
1,0,0,0,2-2-3-6,0.9440389068612256,0.05596109313877433,396,
1,0,0,0,2-2-3-7,0.9898843930635838,0.010115606936416185,346,
1,0,0,0,2-2-3-8,0.8524978986175616,0.1475021013824383,334,
1,0,0,0,2-2-3-9,0.5450951423715821,0.45490485762841804,364,
1,0,0,0,2-2-4-10,0.01135350959080963,0.9886464904091904,1444,
1,0,0,0,2-2-4-4,0.4386792452830189,0.5613207547169812,106,
1,0,0,0,2-2-4-5,0.3389929045970563,0.6610070954029438,370,
1,0,0,0,2-2-4-6,0.3951250657731958,0.6048749342268042,394,
1,0,0,0,2-2-4-7,0.9345581798928413,0.06544182010715877,314,
1,0,0,0,2-2-4-8,0.5997879187992992,0.40021208120070095,354,
1,0,0,0,2-2-4-9,0.3203311146281414,0.6796688853718587,338,
1,0,0,0,2-2-5-10,0.05742556636469918,0.9425744336353008,1340,
1,0,0,0,2-2-5-5,0.04710144927536232,0.9528985507246377,138,
1,0,0,0,2-2-5-6,0.9684065934065934,0.03159340659340659,364,
1,0,0,0,2-2-5-7,0.8989911258100497,0.10100887418995026,294,
1,0,0,0,2-2-5-8,0.9958791208791209,0.004120879120879121,364,
1,0,0,0,2-2-5-9,0.01947336372350701,0.980526636276493,388,
1,0,0,0,2-2-6-10,0.07477070399305505,0.9252292960069449,1372,
1,0,0,0,2-2-6-6,0.6550297127764941,0.34497028722350587,130,
1,0,0,0,2-2-6-7,0.5853617739475258,0.4146382260524742,354,
1,0,0,0,2-2-6-8,0.9002719871439103,0.09972801285608966,324,
1,0,0,0,2-2-6-9,0.10404339179803038,0.8959566082019695,350,
1,0,0,0,2-2-7-10,0.000362844702467344,0.9996371552975326,1378,
1,0,0,0,2-2-7-7,0.5777567419648569,0.4222432580351431,172,
1,0,0,0,2-2-7-8,0.6460460545613749,0.3539539454386252,340,
1,0,0,0,2-2-7-9,0.0014970059880239522,0.9985029940119761,334,
1,0,0,0,2-2-8-10,0.0010948905109489052,0.9989051094890511,1370,
1,0,0,0,2-2-8-8,0.02595176601055254,0.9740482339894474,152,
1,0,0,0,2-2-8-9,0.009146341463414634,0.9908536585365854,328,
1,0,0,0,2-2-9-10,0.0003687315634218289,0.9996312684365781,1356,
1,0,0,0,2-2-9-9,0.003787878787878788,0.9962121212121212,132,
1,0,0,0,2-3-10-10,0.0019163434030606663,0.9980836565969393,6892,
1,0,0,0,2-3-3-10,0.03636065776347826,0.9636393422365217,1472,
1,0,0,0,2-3-3-3,0.7232142857142857,0.2767857142857143,56,
1,0,0,0,2-3-3-4,0.5761876538429525,0.4238123461570476,408,
1,0,0,0,2-3-3-5,0.09738372093023256,0.9026162790697675,344,
1,0,0,0,2-3-3-6,0.7540961178970915,0.2459038821029086,342,
1,0,0,0,2-3-3-7,0.9851351351351352,0.014864864864864866,370,
1,0,0,0,2-3-3-8,0.02294998897831389,0.9770500110216861,364,
1,0,0,0,2-3-3-9,0.07075471698113207,0.9292452830188679,318,
1,0,0,0,2-3-4-10,0.0015274034141958672,0.9984725965858042,3710,
1,0,0,0,2-3-4-4,0.8096861196644802,0.19031388033551977,372,
1,0,0,0,2-3-4-5,0.9301915141269672,0.06980848587303283,948,
1,0,0,0,2-3-4-6,0.9950873362445415,0.0049126637554585155,916,
1,0,0,0,2-3-4-7,0.9975247524752475,0.0024752475247524753,1010,
1,0,0,0,2-3-4-8,0.4166851481322691,0.583314851867731,944,
1,0,0,0,2-3-4-9,0.36134665293652823,0.6386533470634718,896,
1,0,0,0,2-3-5-10,0.006422317176037218,0.9935776828239627,3776,
1,0,0,0,2-3-5-5,0.9960106382978723,0.003989361702127659,376,
1,0,0,0,2-3-5-6,0.7805826788613777,0.21941732113862233,920,
1,0,0,0,2-3-5-7,0.8089268361899986,0.19107316381000145,930,
1,0,0,0,2-3-5-8,0.8624397465310835,0.13756025346891645,914,
1,0,0,0,2-3-5-9,0.0012332628611698379,0.9987667371388302,946,
1,0,0,0,2-3-6-10,0.016246766799451695,0.9837532332005483,3726,
1,0,0,0,2-3-6-6,0.9984848484848485,0.0015151515151515152,330,
1,0,0,0,2-3-6-7,0.9640434473719386,0.03595655262806138,1018,
1,0,0,0,2-3-6-8,0.012092918833406456,0.9879070811665936,1008,
1,0,0,0,2-3-6-9,0.3949212093367829,0.6050787906632172,966,
1,0,0,0,2-3-7-10,0.00012768130745658836,0.9998723186925434,3916,
1,0,0,0,2-3-7-7,0.9360452579414934,0.06395474205850654,304,
