Strategy,Avg Win Rate as P1,Avg Win Rate as P2,Seat Average
CFR-EVBucket-OppBound,0.54236,0.4681633333333333,0.5052616666666666
CFR-EVBucket,0.5369700000000001,0.4633133333333333,0.5001416666666667
CFR-NoInfo,0.5320366666666666,0.45715666666666666,0.49459666666666663
