player,turn,p1_draws,p2_draws,hand,ev_bucket,stop_prob,draw_prob,visits,forced
1,0,0,0,1-2-3-6,1,0.9990943959088003,0.0009056040911996591,9386,
1,0,0,0,1-2-3-7,1,0.9763983669821402,0.023601633017859846,9286,
1,0,0,0,1-2-3-8,2,0.33542897945550687,0.664571020544493,9382,
1,0,0,0,1-2-3-9,3,0.018371423647553477,0.9816285763524465,9288,
1,0,0,0,1-2-4-10,3,0.0001291471520576603,0.9998708528479424,38248,
1,0,0,0,1-2-4-4,0,0.9698005698005698,0.0301994301994302,3510,
1,0,0,0,1-2-4-5,1,0.995290830055889,0.00470916994411095,9662,
1,0,0,0,1-2-4-6,1,0.9996313461133347,0.00036865388666526224,9494,
1,0,0,0,1-2-4-7,1,0.9503386397107605,0.04966136028923943,9546,
1,0,0,0,1-2-4-8,2,0.8145615911068581,0.18543840889314198,9456,
1,0,0,0,1-2-4-9,3,0.003462749213011541,0.9965372507869884,9530,
1,0,0,0,1-2-5-10,3,0.00024493546718566185,0.9997550645328143,38144,
1,0,0,0,1-2-5-5,1,0.9910066965861173,0.008993303413882693,3530,
1,0,0,0,1-2-5-6,1,0.9998402896081772,0.00015971039182282793,9392,
1,0,0,0,1-2-5-7,1,0.9995247148288974,0.0004752851711026616,9468,
1,0,0,0,1-2-5-8,2,0.755796373542058,0.244203626457942,9284,
1,0,0,0,1-2-5-9,3,0.009645030006885373,0.9903549699931146,9456,
1,0,0,0,1-2-6-10,3,3.990210683124069e-05,0.9999600978931688,37592,
1,0,0,0,1-2-6-6,1,0.9845186358958854,0.01548136410411467,3404,
1,0,0,0,1-2-6-7,2,0.9556585465576434,0.04434145344235665,9488,
1,0,0,0,1-2-6-8,2,5.2587294909549855e-05,0.9999474127050905,9508,
1,0,0,0,1-2-6-9,3,0.015198139541360543,0.9848018604586395,9520,
1,0,0,0,1-2-7-10,3,1.3181482653168828e-05,0.9999868185173468,37932,
1,0,0,0,1-2-7-7,2,0.453939582691338,0.546060417308662,3568,
1,0,0,0,1-2-7-8,2,0.003364956108388802,0.9966350438916112,9462,
1,0,0,0,1-2-7-9,3,5.368262830148164e-05,0.9999463173716985,9314,
1,0,0,0,1-2-8-10,3,1.3279507064697759e-05,0.9999867204929354,37652,
1,0,0,0,1-2-8-8,2,0.004435229702008844,0.9955647702979911,3600,
1,0,0,0,1-2-8-9,3,0.00026466229091679015,0.9997353377090832,9446,
1,0,0,0,1-2-9-10,3,0.00026621122589615636,0.9997337887741039,37358,
1,0,0,0,1-2-9-9,3,0.0006956037840845854,0.9993043962159154,3594,
1,0,0,0,1-3-10-10,3,7.045428925712998e-06,0.9999929545710743,70968,
1,0,0,0,1-3-3-10,3,3.5592255125284736e-05,0.9999644077448747,14048,
1,0,0,0,1-3-3-3,0,0.921875,0.078125,608,
1,0,0,0,1-3-3-4,0,0.9140569089874165,0.08594309101258346,3466,
1,0,0,0,1-3-3-5,1,0.9928651371012871,0.007134862898712927,3574,
1,0,0,0,1-3-3-6,1,0.9351996457994787,0.06480035420052134,3568,
1,0,0,0,1-3-3-7,1,0.9208637489442502,0.0791362510557499,3598,
1,0,0,0,1-3-3-8,2,0.7323060405198836,0.2676939594801163,3612,
1,0,0,0,1-3-3-9,3,0.14312121550858073,0.8568787844914192,3532,
1,0,0,0,1-3-4-10,3,3.899547652472313e-05,0.9999610045234752,38466,
1,0,0,0,1-3-4-4,0,0.9747602932882121,0.02523970671178793,3546,
1,0,0,0,1-3-4-5,1,0.966479832389243,0.03352016761075701,9490,
1,0,0,0,1-3-4-6,1,0.9980729166666666,0.0019270833333333334,9600,
1,0,0,0,1-3-4-7,1,0.9943650807650455,0.005634919234954439,9384,
1,0,0,0,1-3-4-8,2,0.6100470114417366,0.3899529885582635,9490,
1,0,0,0,1-3-4-9,3,0.0002679528403001072,0.9997320471596999,9330,
1,0,0,0,1-3-5-10,3,1.2978922230297996e-05,0.9999870210777697,38524,
1,0,0,0,1-3-5-5,1,0.9702212071139876,0.029778792886012366,3602,
1,0,0,0,1-3-5-6,1,0.9977979957805907,0.002202004219409283,9480,
1,0,0,0,1-3-5-7,2,0.9811740707701365,0.018825929229863436,9266,
1,0,0,0,1-3-5-8,2,0.34023774654672145,0.6597622534532785,9572,
1,0,0,0,1-3-5-9,3,0.12122250733605253,0.8787774926639474,9528,
1,0,0,0,1-3-6-10,3,0.00019667488330623586,0.9998033251166938,38134,
1,0,0,0,1-3-6-6,1,0.999025069637883,0.0009749303621169916,3590,
1,0,0,0,1-3-6-7,2,0.9713346071532004,0.028665392846799583,9602,
1,0,0,0,1-3-6-8,2,0.43878950639271164,0.5612104936072885,9436,
1,0,0,0,1-3-6-9,3,0.006482469006275246,0.9935175309937248,9348,
1,0,0,0,1-3-7-10,3,1.3361838588989846e-05,0.999986638161411,37420,
1,0,0,0,1-3-7-7,2,0.9507199038938917,0.04928009610610818,3596,
1,0,0,0,1-3-7-8,2,0.0008917331095258078,0.9991082668904742,9532,
1,0,0,0,1-3-7-9,3,0.0037639281212757596,0.9962360718787242,9640,
1,0,0,0,1-3-8-10,3,1.3257676194516625e-05,0.9999867423238055,37714,
1,0,0,0,1-3-8-8,2,0.0048393097057346,0.9951606902942655,3500,
1,0,0,0,1-3-8-9,3,0.00041126876413736374,0.9995887312358627,9726,
1,0,0,0,1-3-9-10,3,1.3205155292626241e-05,0.9999867948447074,37864,
1,0,0,0,1-3-9-9,3,0.00015809533576031037,0.9998419046642397,3546,
1,0,0,0,1-4-10-10,3,0.00018425519830469466,0.9998157448016954,70416,
1,0,0,0,1-4-4-10,3,0.0007464871194379385,0.9992535128805621,14640,
1,0,0,0,1-4-4-4,0,0.9172413793103448,0.08275862068965517,580,
1,0,0,0,1-4-4-5,1,0.999570692615913,0.0004293073840870063,3494,
1,0,0,0,1-4-4-6,1,0.9990283176013326,0.000971682398667407,3602,
1,0,0,0,1-4-4-7,2,0.9995865490628445,0.00041345093715545756,3628,
1,0,0,0,1-4-4-8,2,0.645903788039468,0.354096211960532,3480,
1,0,0,0,1-4-4-9,3,0.5874496040836322,0.4125503959163677,3552,
