player,turn,p1_draws,p2_draws,hand,ev_bucket,opp_bound,stop_prob,draw_prob,visits,forced
1,0,0,0,1-2-3-10,3,10,0.00035323669475116436,0.9996467633052488,38218,
1,0,0,0,1-2-3-3,0,10,0.9995726495726496,0.00042735042735042735,3510,
1,0,0,0,1-2-3-4,0,10,0.9661657316335153,0.03383426836648471,9392,
1,0,0,0,1-2-3-5,1,10,0.9921551818137251,0.007844818186274964,9326,
1,0,0,0,1-2-3-6,1,10,0.9570260204606289,0.04297397953937107,9434,
1,0,0,0,1-2-3-7,1,10,0.9448364685235938,0.0551635314764061,9622,
1,0,0,0,1-2-3-8,2,10,0.22993326575074127,0.7700667342492586,9490,
1,0,0,0,1-2-3-9,3,10,0.02638917434611643,0.9736108256538835,9894,
1,0,0,0,1-2-4-10,3,10,3.925262992620505e-05,0.9999607473700738,38214,
1,0,0,0,1-2-4-4,0,10,0.9792457948996202,0.020754205100379782,3686,
1,0,0,0,1-2-4-5,1,10,0.9852869571959323,0.01471304280406778,9262,
1,0,0,0,1-2-4-6,1,10,0.8868953038048603,0.11310469619513973,9300,
1,0,0,0,1-2-4-7,1,10,0.9297075466150516,0.07029245338494834,9360,
1,0,0,0,1-2-4-8,2,10,0.3927746428701856,0.6072253571298144,9318,
1,0,0,0,1-2-4-9,3,10,0.018566729241162355,0.9814332707588376,9560,
1,0,0,0,1-2-5-10,3,10,0.003614219094242475,0.9963857809057575,37564,
1,0,0,0,1-2-5-5,1,10,0.9984204480183803,0.0015795519816197588,3482,
1,0,0,0,1-2-5-6,1,10,0.9977191799608257,0.0022808200391743116,9382,
1,0,0,0,1-2-5-7,1,10,0.9998422049232064,0.00015779507679360404,9506,
1,0,0,0,1-2-5-8,2,10,0.44395205809099786,0.5560479419090021,9602,
1,0,0,0,1-2-5-9,3,10,0.0008017960230917255,0.9991982039769083,9354,
1,0,0,0,1-2-6-10,3,10,0.0013854046988159348,0.998614595301184,37802,
1,0,0,0,1-2-6-6,1,10,0.9772844718561995,0.022715528143800495,3598,
1,0,0,0,1-2-6-7,2,10,0.9901576275982764,0.009842372401723582,9774,
1,0,0,0,1-2-6-8,2,10,0.24737994071367148,0.7526200592863285,9394,
1,0,0,0,1-2-6-9,3,10,0.001837518967790282,0.9981624810322097,9478,
1,0,0,0,1-2-7-10,3,10,0.00025793441431301513,0.9997420655856869,37908,
1,0,0,0,1-2-7-7,2,10,0.983536786373446,0.01646321362655401,3572,
1,0,0,0,1-2-7-8,2,10,0.010214538768292503,0.9897854612317075,9570,
1,0,0,0,1-2-7-9,3,10,0.00015749685006299875,0.9998425031499371,9524,
1,0,0,0,1-2-8-10,3,10,1.3210039630118891e-05,0.9999867899603698,37850,
1,0,0,0,1-2-8-8,2,10,0.009086833496282032,0.990913166503718,3748,
1,0,0,0,1-2-8-9,3,10,0.0008689376198089855,0.999131062380191,9634,
1,0,0,0,1-2-9-10,3,10,6.59944036745684e-05,0.9999340055963254,37882,
1,0,0,0,1-2-9-9,3,10,0.0016120066703724284,0.9983879933296275,3598,
1,0,0,0,1-3-10-10,3,10,5.634755169887868e-05,0.9999436524483011,70988,
1,0,0,0,1-3-3-10,3,10,0.00010557432432432433,0.9998944256756757,14208,
1,0,0,0,1-3-3-3,0,10,0.9840604026845637,0.015939597315436243,596,
1,0,0,0,1-3-3-4,0,10,0.9945893451720311,0.0054106548279689234,3604,
1,0,0,0,1-3-3-5,1,10,0.960134353603659,0.039865646396341076,3674,
1,0,0,0,1-3-3-6,1,10,0.6686048840192423,0.33139511598075766,3664,
1,0,0,0,1-3-3-7,1,10,0.880048352306835,0.11995164769316495,3480,
1,0,0,0,1-3-3-8,2,10,0.8334739934493142,0.16652600655068586,3604,
1,0,0,0,1-3-3-9,3,10,0.03611970309726049,0.9638802969027395,3486,
1,0,0,0,1-3-4-10,3,10,0.0004294469528401339,0.9995705530471599,37814,
1,0,0,0,1-3-4-4,0,10,0.974337426644626,0.02566257335537401,3672,
1,0,0,0,1-3-4-5,1,10,0.9897627306344716,0.01023726936552837,9746,
1,0,0,0,1-3-4-6,1,10,0.9886908185259349,0.011309181474065084,9464,
1,0,0,0,1-3-4-7,1,10,0.7129586613734371,0.2870413386265629,9538,
1,0,0,0,1-3-4-8,2,10,0.39281560197278403,0.607184398027216,9586,
1,0,0,0,1-3-4-9,3,10,0.08713116413129468,0.9128688358687054,9418,
1,0,0,0,1-3-5-10,3,10,1.3128873017540174e-05,0.9999868711269825,38084,
1,0,0,0,1-3-5-5,1,10,0.9240088349952968,0.07599116500470314,3486,
1,0,0,0,1-3-5-6,1,10,0.997086247086247,0.002913752913752914,9438,
1,0,0,0,1-3-5-7,2,10,0.9897917945113893,0.01020820548861073,9366,
1,0,0,0,1-3-5-8,2,10,0.6342881605426827,0.36571183945731744,9474,
1,0,0,0,1-3-5-9,3,10,0.007086884939280131,0.9929131150607199,9324,
1,0,0,0,1-3-6-10,3,10,0.00011784423610747394,0.9998821557638925,38186,
1,0,0,0,1-3-6-6,1,10,0.9708995039168524,0.02910049608314762,3514,
1,0,0,0,1-3-6-7,2,10,0.9861851643387037,0.013814835661296342,9298,
1,0,0,0,1-3-6-8,2,10,0.9324596281044887,0.06754037189551126,9206,
1,0,0,0,1-3-6-9,3,10,0.0726198951228929,0.9273801048771071,9288,
1,0,0,0,1-3-7-10,3,10,1.330778239114234e-05,0.9999866922176088,37572,
1,0,0,0,1-3-7-7,2,10,0.5937470403014798,0.40625295969852016,3558,
1,0,0,0,1-3-7-8,2,10,0.008464651184117973,0.9915353488158821,9418,
1,0,0,0,1-3-7-9,3,10,0.008641964223126119,0.9913580357768739,9486,
1,0,0,0,1-3-8-10,3,10,0.0001602307322544464,0.9998397692677455,37446,
1,0,0,0,1-3-8-8,2,10,0.014377439221854593,0.9856225607781454,3584,
1,0,0,0,1-3-8-9,3,10,0.004017378894082386,0.9959826211059176,9376,
1,0,0,0,1-3-9-10,3,10,6.634467384958335e-05,0.9999336553261504,37682,
1,0,0,0,1-3-9-9,3,10,0.007744090833817306,0.9922559091661827,3470,
1,0,0,0,1-4-10-10,3,10,6.290042700198181e-05,0.999937099572998,71134,
1,0,0,0,1-4-4-10,3,10,3.502872355331372e-05,0.9999649712764467,14274,
1,0,0,0,1-4-4-4,0,10,0.9902482269503546,0.00975177304964539,564,
1,0,0,0,1-4-4-5,1,10,0.9998636859323882,0.00013631406761177754,3668,
1,0,0,0,1-4-4-6,1,10,0.985420936378696,0.01457906362130404,3570,
1,0,0,0,1-4-4-7,2,10,0.8941095791694164,0.10589042083058364,3536,
1,0,0,0,1-4-4-8,2,10,0.9390608040341125,0.06093919596588747,3566,
1,0,0,0,1-4-4-9,3,10,0.004102009798434734,0.9958979902015653,3510,
1,0,0,0,1-4-5-10,3,10,5.301812312716217e-05,0.9999469818768728,37612,
1,0,0,0,1-4-5-5,1,10,0.9749955649319519,0.025004435068048104,3576,
1,0,0,0,1-4-5-6,1,10,0.9979281997263995,0.0020718002736005423,9530,
1,0,0,0,1-4-5-7,2,10,0.9983728742389251,0.0016271257610749527,9526,
1,0,0,0,1-4-5-8,2,10,0.9023119981248866,0.09768800187511334,9420,
1,0,0,0,1-4-5-9,3,10,0.15271436289755944,0.8472856371024406,9540,
1,0,0,0,1-4-6-10,3,10,1.3344008540165465e-05,0.9999866559914599,37470,
1,0,0,0,1-4-6-6,1,10,0.9877039664897136,0.012296033510286419,3490,
1,0,0,0,1-4-6-7,2,10,0.9807648143338459,0.019235185666154217,9418,
1,0,0,0,1-4-6-8,2,10,0.26086814946718273,0.7391318505328172,9500,
1,0,0,0,1-4-6-9,3,10,0.0047597467367949935,0.995240253263205,9740,
1,0,0,0,1-4-7-10,3,10,1.3273161667109106e-05,0.9999867268383329,37670,
1,0,0,0,1-4-7-7,2,10,0.9334264424147846,0.06657355758521542,3656,
1,0,0,0,1-4-7-8,2,10,0.00882526734515647,0.9911747326548435,9482,
1,0,0,0,1-4-7-9,3,10,5.269814502529511e-05,0.9999473018549747,9488,
1,0,0,0,1-4-8-10,3,10,0.0003051643831382266,0.9996948356168618,37936,
1,0,0,0,1-4-8-8,2,10,0.024078651772713913,0.9759213482272862,3486,
1,0,0,0,1-4-8-9,3,10,5.4860653938994955e-05,0.999945139346061,9114,
1,0,0,0,1-4-9-10,3,10,8.574292950612072e-05,0.9999142570704939,37904,
1,0,0,0,1-4-9-9,3,10,0.0009711431742508325,0.9990288568257492,3604,
1,0,0,0,1-5-10-10,3,10,0.0,1.0,70604,DRAW
1,0,0,0,1-5-5-10,3,10,0.016820493305745917,0.9831795066942541,14162,
1,0,0,0,1-5-5-5,1,10,0.9216457512190054,0.07835424878099459,584,
1,0,0,0,1-5-5-6,1,10,0.999579596412556,0.0004204035874439462,3568,
1,0,0,0,1-5-5-7,2,10,0.9998597868760516,0.00014021312394840157,3566,
1,0,0,0,1-5-5-8,2,10,0.857113730196351,0.14288626980364905,3436,
1,0,0,0,1-5-5-9,3,10,0.18061070991994127,0.8193892900800588,3512,
1,0,0,0,1-5-6-10,3,10,1.3075997698624404e-05,0.9999869240023014,38238,
1,0,0,0,1-5-6-6,1,10,0.9993116740088106,0.0006883259911894273,3632,
1,0,0,0,1-5-6-7,2,10,0.9834951479141474,0.016504852085852638,9292,
1,0,0,0,1-5-6-8,2,10,0.5786611015436227,0.42133889845637734,9644,
1,0,0,0,1-5-6-9,3,10,0.0023014336539686664,0.9976985663460313,9486,
1,0,0,0,1-5-7-10,3,10,0.0001815133593832506,0.9998184866406168,37876,
1,0,0,0,1-5-7-7,2,10,0.8956222253377093,0.10437777466229069,3566,
1,0,0,0,1-5-7-8,2,10,0.00813824426405862,0.9918617557359413,9648,
1,0,0,0,1-5-7-9,3,10,0.010152305051407252,0.9898476949485928,9470,
1,0,0,0,1-5-8-10,3,10,6.678777516563368e-05,0.9999332122248343,37432,
1,0,0,0,1-5-8-8,2,10,0.050527232722513374,0.9494727672774866,3508,
1,0,0,0,1-5-8-9,3,10,0.00015920186796858417,0.9998407981320314,9422,
1,0,0,0,1-5-9-10,3,10,1.3033051819414034e-05,0.9999869669481806,38364,
1,0,0,0,1-5-9-9,3,10,0.0001429388221841052,0.9998570611778159,3498,
1,0,0,0,1-6-10-10,3,10,0.0,1.0,70926,DRAW
1,0,0,0,1-6-6-10,3,10,0.00010703582132153561,0.9998929641786785,14014,
1,0,0,0,1-6-6-6,1,10,0.9976038338658147,0.0023961661341853034,626,
1,0,0,0,1-6-6-7,2,10,0.8892166832977682,0.11078331670223186,3446,
1,0,0,0,1-6-6-8,2,10,0.4193166478834775,0.5806833521165224,3640,
1,0,0,0,1-6-6-9,3,10,0.06899931927017451,0.9310006807298254,3614,
1,0,0,0,1-6-7-10,3,10,6.97655217965654e-05,0.9999302344782034,37850,
1,0,0,0,1-6-7-7,2,10,0.6643891350983763,0.3356108649016238,3454,
1,0,0,0,1-6-7-8,2,10,0.00015782828282828284,0.9998421717171717,9504,
1,0,0,0,1-6-7-9,3,10,5.4159445407279026e-05,0.9999458405545927,9232,
1,0,0,0,1-6-8-10,3,10,3.9978678038379534e-05,0.9999600213219616,37520,
1,0,0,0,1-6-8-8,2,10,0.0008393956351426973,0.9991606043648573,3574,
1,0,0,0,1-6-8-9,3,10,0.0007603628491470734,0.999239637150853,9564,
1,0,0,0,1-6-9-10,3,10,0.0,1.0,37540,DRAW
1,0,0,0,1-6-9-9,3,10,0.00032826861752016504,0.9996717313824799,3554,
1,0,0,0,1-7-10-10,4,10,0.0,1.0,71094,DRAW
1,0,0,0,1-7-7-10,3,10,3.5380696292103026e-05,0.999964619303708,14132,
1,0,0,0,1-7-7-7,2,10,0.6473730612306693,0.3526269387693307,544,
1,0,0,0,1-7-7-8,2,10,0.02236100518493082,0.9776389948150692,3584,
1,0,0,0,1-7-7-9,3,10,0.008867275112019653,0.9911327248879803,3568,
1,0,0,0,1-7-8-10,3,10,0.0,1.0,38018,DRAW
1,0,0,0,1-7-8-8,2,10,0.002083486002318453,0.9979165139976816,3624,
1,0,0,0,1-7-8-9,3,10,0.0019628408628584787,0.9980371591371414,9568,
1,0,0,0,1-7-9-10,3,10,0.0,1.0,37920,DRAW
1,0,0,0,1-7-9-9,3,10,0.0,1.0,3480,DRAW
1,0,0,0,1-8-10-10,4,10,0.0,1.0,70866,DRAW
1,0,0,0,1-8-8-10,3,10,0.0,1.0,14208,DRAW
1,0,0,0,1-8-8-8,2,10,0.004266211604095563,0.9957337883959044,586,
1,0,0,0,1-8-8-9,3,10,0.0,1.0,3522,DRAW
1,0,0,0,1-8-9-10,4,10,0.0,1.0,38192,DRAW
1,0,0,0,1-8-9-9,3,10,0.0,1.0,3458,DRAW
1,0,0,0,1-9-10-10,4,10,0.0,1.0,70476,DRAW
1,0,0,0,1-9-9-10,4,10,0.0,1.0,14156,DRAW
1,0,0,0,1-9-9-9,3,10,0.0,1.0,612,DRAW
1,0,0,0,10-10-10-10,4,10,0.0,1.0,67124,DRAW
1,0,0,0,2-10-10-10,4,10,0.0,1.0,82852,DRAW
1,0,0,0,2-2-10-10,3,10,1.8983977522970614e-05,0.999981016022477,26338,
1,0,0,0,2-2-2-10,3,10,0.0002032520325203252,0.9997967479674796,2460,
1,0,0,0,2-2-2-2,0,10,0.9558823529411765,0.04411764705882353,34,
1,0,0,0,2-2-2-3,0,10,0.9498239436619719,0.05017605633802817,568,
1,0,0,0,2-2-2-4,0,10,0.9207191854435589,0.07928081455644113,582,
1,0,0,0,2-2-2-5,1,10,0.9678217821782178,0.03217821782178218,606,
1,0,0,0,2-2-2-6,1,10,0.9323529411764706,0.06764705882352941,510,
1,0,0,0,2-2-2-7,1,10,0.9688512437402932,0.03114875625970679,574,
1,0,0,0,2-2-2-8,2,10,0.4434413706891384,0.5565586293108616,578,
1,0,0,0,2-2-2-9,3,10,0.8281648647182615,0.1718351352817386,568,
1,0,0,0,2-2-3-10,3,10,0.007354620814462962,0.992645379185537,14252,
1,0,0,0,2-2-3-3,0,10,0.9789110429447853,0.021088957055214724,1304,
