P1 Strategy,P2 Strategy,P1 Win Rate,P2 Win Rate,Avg Turns,Stop Rate,P1 Stop Rate,P2 Stop Rate,Avg P1 Sum,Avg P2 Sum,Games
CFR-NoInfo,CFR-NoInfo,0.53676,0.46324,9.23123,0.99489,0.57955,0.41534,14.77583,15.71872,100000
CFR-NoInfo,CFR-EVBucket,0.53121,0.46879,9.35284,0.99506,0.58534,0.40972,14.73044,15.53514,100000
CFR-NoInfo,CFR-EVBucket-OppBound,0.52814,0.47186,8.89479,0.99626,0.57539,0.42087,15.07254,15.83322,100000
CFR-EVBucket,CFR-NoInfo,0.54352,0.45648,9.22051,0.99471,0.57807,0.41664,14.68891,15.75586,100000
CFR-EVBucket,CFR-EVBucket,0.5362,0.4638,9.3283,0.99472,0.5859,0.40882,14.63676,15.60628,100000
CFR-EVBucket,CFR-EVBucket-OppBound,0.53119,0.46881,8.87324,0.9961,0.57768,0.41842,15.01912,15.86694,100000
CFR-EVBucket-OppBound,CFR-NoInfo,0.54825,0.45175,8.96114,0.99588,0.57594,0.41994,14.92334,15.9942,100000
CFR-EVBucket-OppBound,CFR-EVBucket,0.54265,0.45735,9.04803,0.99557,0.57871,0.41686,14.88719,15.86053,100000
CFR-EVBucket-OppBound,CFR-EVBucket-OppBound,0.53618,0.46382,8.72474,0.99627,0.57184,0.42443,15.18597,16.06591,100000
