player,turn,p1_draws,p2_draws,hand,stop_prob,draw_prob,visits
1,0,0,0,1-1-1-1,0.5,0.5,178
1,0,0,0,1-1-1-10,0.0007309941520467836,0.9992690058479532,684
1,0,0,0,1-1-1-2,0.8753369272237197,0.12466307277628032,742
1,0,0,0,1-1-1-3,0.7270942408376964,0.27290575916230364,764
1,0,0,0,1-1-1-4,0.3973566266319094,0.6026433733680906,824
1,0,0,0,1-1-1-5,0.15411729248774372,0.8458827075122564,736
1,0,0,0,1-1-1-6,0.4643781480895304,0.5356218519104696,788
1,0,0,0,1-1-1-7,0.17147362986018874,0.8285263701398113,784
1,0,0,0,1-1-1-8,0.04981196083209927,0.9501880391679008,832
1,0,0,0,1-1-1-9,0.0006112469437652812,0.9993887530562348,818
1,0,0,0,1-1-10-10,0.0004553734061930783,0.9995446265938069,1098
1,0,0,0,1-1-2-10,0.007340604026845637,0.9926593959731543,2384
1,0,0,0,1-1-2-2,0.9406146179401993,0.059385382059800665,1204
1,0,0,0,1-1-2-3,0.9850965575146935,0.014903442485306465,2382
1,0,0,0,1-1-2-4,0.9989829129373474,0.0010170870626525631,2458
1,0,0,0,1-1-2-5,0.7517430716055022,0.2482569283944978,2356
1,0,0,0,1-1-2-6,0.5226597013391988,0.4773402986608012,2368
1,0,0,0,1-1-2-7,0.21194754122376236,0.7880524587762376,2312
1,0,0,0,1-1-2-8,0.05029253031516772,0.9497074696848322,2328
1,0,0,0,1-1-2-9,0.009871244249839982,0.9901287557501601,2366
1,0,0,0,1-1-3-10,0.0006157635467980296,0.999384236453202,2436
1,0,0,0,1-1-3-3,0.999597423510467,0.00040257648953301127,1242
1,0,0,0,1-1-3-4,0.9936525743336612,0.006347425666338838,2440
1,0,0,0,1-1-3-5,0.9993822075782537,0.0006177924217462932,2428
1,0,0,0,1-1-3-6,0.4127892600270499,0.5872107399729501,2396
1,0,0,0,1-1-3-7,0.03557937838083669,0.9644206216191633,2460
1,0,0,0,1-1-3-8,0.004346026490066225,0.9956539735099338,2416
1,0,0,0,1-1-3-9,0.0010347682119205299,0.9989652317880795,2416
1,0,0,0,1-1-4-10,0.003258036490008688,0.9967419635099913,2302
1,0,0,0,1-1-4-4,0.9553416318590292,0.04465836814097075,1286
1,0,0,0,1-1-4-5,0.9942787746668647,0.005721225333135397,2488
1,0,0,0,1-1-4-6,0.7231437520650887,0.2768562479349112,2400
1,0,0,0,1-1-4-7,0.00020833333333333335,0.9997916666666666,2400
1,0,0,0,1-1-4-8,0.014880264719036878,0.9851197352809632,2408
1,0,0,0,1-1-4-9,0.001953125,0.998046875,2304
1,0,0,0,1-1-5-10,0.00020242914979757084,0.9997975708502024,2470
1,0,0,0,1-1-5-5,0.9810459055779556,0.01895409442204439,1180
1,0,0,0,1-1-5-6,0.47281617063475606,0.5271838293652439,2482
1,0,0,0,1-1-5-7,0.06545512455328141,0.9345448754467186,2484
1,0,0,0,1-1-5-8,0.00020458265139116204,0.9997954173486089,2444
1,0,0,0,1-1-5-9,0.0017800632911392405,0.9982199367088608,2528
1,0,0,0,1-1-6-10,0.0006177924217462932,0.9993822075782537,2428
1,0,0,0,1-1-6-6,0.1324297579160847,0.8675702420839153,1146
1,0,0,0,1-1-6-7,0.00021026072329688813,0.9997897392767031,2378
1,0,0,0,1-1-6-8,0.00021367521367521368,0.9997863247863248,2340
1,0,0,0,1-1-6-9,0.00020955574182732607,0.9997904442581727,2386
1,0,0,0,1-1-7-10,0.00019936204146730463,0.9998006379585327,2508
1,0,0,0,1-1-7-7,0.02603305785123967,0.9739669421487603,1210
1,0,0,0,1-1-7-8,0.004077104810534405,0.9959228951894656,2310
1,0,0,0,1-1-7-9,0.0006224066390041493,0.9993775933609959,2410
